Region,State,Physical inactivity
Midwest,NE,0.27
Midwest,NE,0.263
Midwest,NE,0.265
Midwest,NE,0.256
Midwest,NE,0.251
Midwest,NE,0.251
Midwest,NE,0.355
Midwest,NE,0.322
Midwest,NE,0.33
Midwest,NE,0.327
Midwest,NE,0.308
Midwest,NE,0.284
Midwest,NE,0.31
Midwest,NE,0.304
Midwest,NE,0.336
Midwest,NE,0.314
Midwest,NE,0.311
Midwest,NE,0.262
Midwest,NE,0.23
Midwest,NE,0.221
Midwest,NE,0.274
Midwest,NE,0.263
Midwest,NE,0.339
Midwest,NE,0.349
Midwest,NE,0.265
Midwest,NE,0.252
Northeast,NH,0.21
Northeast,NH,0.217
Northeast,NH,0.205
Northeast,NH,0.201
Northeast,NH,0.201
Northeast,NH,0.198
Northeast,NH,0.283
Northeast,NH,0.274
Northeast,NH,0.192
Northeast,NH,0.179
Northeast,NH,0.226
Northeast,NH,0.212
Northeast,NH,0.21
Northeast,NH,0.196
Northeast,NH,0.205
Northeast,NH,0.192
Northeast,NH,0.226
Northeast,NH,0.227
Northeast,NH,0.266
Northeast,NH,0.238
Northeast,NJ,0.249
Northeast,NJ,0.255
Northeast,NJ,0.235
Northeast,NJ,0.225
Northeast,NJ,0.239
Northeast,NJ,0.242
Northeast,NJ,0.278
Northeast,NJ,0.269
Northeast,NJ,0.243
Northeast,NJ,0.234
Northeast,NJ,0.3
Northeast,NJ,0.291
Northeast,NJ,0.277
Northeast,NJ,0.271
Northeast,NJ,0.248
Northeast,NJ,0.256
Northeast,NJ,0.266
Northeast,NJ,0.256
Northeast,NJ,0.189
Northeast,NJ,0.181
Northeast,NJ,0.241
Northeast,NJ,0.228
Northeast,NJ,0.266
Northeast,NJ,0.247
Northeast,NJ,0.22
Northeast,NJ,0.204
Northeast,NJ,0.205
Northeast,NJ,0.197
Northeast,NJ,0.258
Northeast,NJ,0.269
Northeast,NJ,0.273
Northeast,NJ,0.248
Northeast,NJ,0.297
Northeast,NJ,0.275
Northeast,NJ,0.222
Northeast,NJ,0.211
Northeast,NJ,0.235
Northeast,NJ,0.242
Northeast,NJ,0.26
Northeast,NJ,0.258
Northeast,NJ,0.261
Northeast,NJ,0.244
West,NM,0.17
West,NM,0.165
West,NM,0.248
West,NM,0.266
West,NM,0.267
West,NM,0.263
West,NM,0.264
West,NM,0.253
West,NM,0.243
West,NM,0.221
West,NM,0.272
West,NM,0.259
West,NM,0.298
West,NM,0.295
West,NM,0.19
West,NM,0.193
West,NM,0.277
West,NM,0.255
West,NM,0.222
West,NM,0.211
West,NM,0.253
West,NM,0.228
West,NM,0.261
West,NM,0.243
West,NM,0.331
West,NM,0.339
West,NM,0.219
West,NM,0.241
West,NM,0.154
West,NM,0.149
West,NM,0.237
West,NM,0.232
West,NM,0.252
West,NM,0.23
West,NM,0.248
West,NM,0.227
West,NM,0.225
West,NM,0.227
West,NM,0.297
West,NM,0.277
West,NM,0.231
West,NM,0.216
West,NM,0.283
West,NM,0.265
West,NM,0.238
West,NM,0.232
West,NM,0.198
West,NM,0.192
West,NM,0.198
West,NM,0.187
West,NM,0.123
West,NM,0.119
West,NM,0.259
West,NM,0.251
West,NM,0.221
West,NM,0.209
West,NM,0.146
West,NM,0.141
West,NM,0.253
West,NM,0.257
West,NM,0.279
West,NM,0.272
West,NM,0.241
West,NM,0.231
West,NV,0.187
West,NV,0.179
West,NV,0.262
West,NV,0.246
West,NV,0.237
West,NV,0.217
West,NV,0.167
West,NV,0.159
West,NV,0.211
West,NV,0.201
West,NV,0.249
West,NV,0.233
West,NV,0.215
West,NV,0.202
West,NV,0.236
West,NV,0.208
West,NV,0.227
West,NV,0.223
West,NV,0.259
West,NV,0.248
West,NV,0.305
West,NV,0.284
West,NV,0.292
West,NV,0.283
West,NV,0.224
West,NV,0.208
West,NV,0.246
West,NV,0.239
West,NV,0.161
West,NV,0.157
West,NV,0.261
West,NV,0.239
Northeast,NY,0.226
Northeast,NY,0.223
Northeast,NY,0.258
Northeast,NY,0.236
Northeast,NY,0.289
Northeast,NY,0.285
Northeast,NY,0.241
Northeast,NY,0.211
Northeast,NY,0.283
Northeast,NY,0.289
Northeast,NY,0.232
Northeast,NY,0.222
Northeast,NY,0.257
Northeast,NY,0.265
Northeast,NY,0.257
Northeast,NY,0.248
Northeast,NY,0.232
Northeast,NY,0.267
Northeast,NY,0.248
Northeast,NY,0.259
Northeast,NY,0.239
Northeast,NY,0.222
Northeast,NY,0.261
Northeast,NY,0.224
Northeast,NY,0.312
Northeast,NY,0.279
Northeast,NY,0.215
Northeast,NY,0.207
Northeast,NY,0.247
Northeast,NY,0.228
Northeast,NY,0.217
Northeast,NY,0.241
Northeast,NY,0.262
Northeast,NY,0.264
Northeast,NY,0.231
Northeast,NY,0.234
Northeast,NY,0.258
Northeast,NY,0.239
Northeast,NY,0.273
Northeast,NY,0.271
Northeast,NY,0.248
Northeast,NY,0.242
Northeast,NY,0.26
Northeast,NY,0.242
Northeast,NY,0.268
Northeast,NY,0.263
Northeast,NY,0.262
Northeast,NY,0.253
Northeast,NY,0.248
Northeast,NY,0.245
Northeast,NY,0.241
Northeast,NY,0.224
Northeast,NY,0.236
Northeast,NY,0.23
Northeast,NY,0.201
Northeast,NY,0.212
Northeast,NY,0.254
Northeast,NY,0.234
Northeast,NY,0.244
Northeast,NY,0.23
Northeast,NY,0.171
Northeast,NY,0.16
Northeast,NY,0.274
Northeast,NY,0.237
Northeast,NY,0.26
Northeast,NY,0.276
Northeast,NY,0.235
Northeast,NY,0.244
Northeast,NY,0.204
Northeast,NY,0.182
Northeast,NY,0.25
Northeast,NY,0.245
Northeast,NY,0.286
Northeast,NY,0.268
Northeast,NY,0.256
Northeast,NY,0.269
Northeast,NY,0.248
Northeast,NY,0.229
Northeast,NY,0.219
Northeast,NY,0.223
Northeast,NY,0.279
Northeast,NY,0.271
Northeast,NY,0.227
Northeast,NY,0.224
Northeast,NY,0.277
Northeast,NY,0.275
Northeast,NY,0.244
Northeast,NY,0.236
Northeast,NY,0.203
Northeast,NY,0.228
Northeast,NY,0.255
Northeast,NY,0.242
Northeast,NY,0.246
Northeast,NY,0.245
Northeast,NY,0.289
Northeast,NY,0.274
Northeast,NY,0.287
Northeast,NY,0.259
Northeast,NY,0.28
Northeast,NY,0.259
Northeast,NY,0.223
Northeast,NY,0.209
Northeast,NY,0.225
Northeast,NY,0.217
Northeast,NY,0.255
Northeast,NY,0.24
Northeast,NY,0.251
Northeast,NY,0.259
Northeast,NY,0.209
Northeast,NY,0.244
Northeast,NY,0.207
Northeast,NY,0.187
Northeast,NY,0.198
Northeast,NY,0.195
Northeast,NY,0.28
Northeast,NY,0.246
Northeast,NY,0.223
Northeast,NY,0.232
Northeast,NY,0.195
Northeast,NY,0.192
Northeast,NY,0.247
Northeast,NY,0.254
Northeast,NY,0.255
Northeast,NY,0.239
Midwest,OH,0.322
Midwest,OH,0.323
Midwest,OH,0.283
Midwest,OH,0.302
Midwest,OH,0.27
Midwest,OH,0.258
Midwest,OH,0.31
Midwest,OH,0.317
Midwest,OH,0.275
Midwest,OH,0.242
Midwest,OH,0.285
Midwest,OH,0.273
Midwest,OH,0.342
Midwest,OH,0.343
Midwest,OH,0.351
Midwest,OH,0.348
Midwest,OH,0.255
Midwest,OH,0.262
Midwest,OH,0.258
Midwest,OH,0.285
Midwest,OH,0.278
Midwest,OH,0.284
Midwest,OH,0.311
Midwest,OH,0.284
Midwest,OH,0.258
Midwest,OH,0.269
Midwest,OH,0.324
Midwest,OH,0.315
Midwest,OH,0.322
Midwest,OH,0.315
Midwest,OH,0.308
Midwest,OH,0.298
Midwest,OH,0.349
Midwest,OH,0.343
Midwest,OH,0.254
Midwest,OH,0.255
Midwest,OH,0.341
Midwest,OH,0.346
Midwest,OH,0.274
Midwest,OH,0.293
Midwest,OH,0.211
Midwest,OH,0.216
Midwest,OH,0.279
Midwest,OH,0.242
Midwest,OH,0.265
Midwest,OH,0.263
Midwest,OH,0.311
Midwest,OH,0.321
Midwest,OH,0.256
Midwest,OH,0.239
Midwest,OH,0.252
Midwest,OH,0.245
Midwest,OH,0.375
Midwest,OH,0.333
Midwest,OH,0.253
Midwest,OH,0.246
Midwest,OH,0.258
Midwest,OH,0.258
Midwest,OH,0.295
Midwest,OH,0.339
Midwest,OH,0.251
Midwest,OH,0.235
Midwest,OH,0.255
Midwest,OH,0.231
Midwest,OH,0.284
Midwest,OH,0.315
Midwest,OH,0.324
Midwest,OH,0.286
Midwest,OH,0.301
Midwest,OH,0.235
Midwest,OH,0.334
Midwest,OH,0.308
Midwest,OH,0.291
Midwest,OH,0.292
Midwest,OH,0.254
Midwest,OH,0.246
Midwest,OH,0.323
Midwest,OH,0.337
Midwest,OH,0.381
Midwest,OH,0.365
Midwest,OH,0.325
Midwest,OH,0.316
Midwest,OH,0.267
Midwest,OH,0.234
Midwest,OH,0.256
Midwest,OH,0.227
Midwest,OH,0.339
Midwest,OH,0.365
Midwest,OH,0.275
Midwest,OH,0.27
Midwest,OH,0.346
Midwest,OH,0.31
Midwest,OH,0.277
Midwest,OH,0.233
Midwest,OH,0.271
Midwest,OH,0.264
Midwest,OH,0.33
Midwest,OH,0.306
Midwest,OH,0.279
Midwest,OH,0.28
Midwest,OH,0.308
Midwest,OH,0.338
Midwest,OH,0.23
Midwest,OH,0.244
Midwest,OH,0.305
Midwest,OH,0.292
Midwest,OH,0.257
Midwest,OH,0.285
Midwest,OH,0.269
Midwest,OH,0.262
Midwest,OH,0.295
Midwest,OH,0.302
Midwest,OH,0.252
Midwest,OH,0.248
Midwest,OH,0.319
Midwest,OH,0.294
Midwest,OH,0.287
Midwest,OH,0.291
Midwest,OH,0.339
Midwest,OH,0.327
Midwest,OH,0.333
Midwest,OH,0.309
Midwest,OH,0.264
Midwest,OH,0.283
Midwest,OH,0.279
Midwest,OH,0.287
Midwest,OH,0.329
Midwest,OH,0.298
Midwest,OH,0.316
Midwest,OH,0.317
Midwest,OH,0.337
Midwest,OH,0.301
Midwest,OH,0.252
Midwest,OH,0.25
Midwest,OH,0.303
Midwest,OH,0.289
Midwest,OH,0.273
Midwest,OH,0.259
Midwest,OH,0.284
Midwest,OH,0.289
Midwest,OH,0.292
Midwest,OH,0.29
Midwest,OH,0.299
Midwest,OH,0.297
Midwest,OH,0.304
Midwest,OH,0.288
Midwest,OH,0.294
Midwest,OH,0.275
Midwest,OH,0.262
Midwest,OH,0.278
Midwest,OH,0.271
Midwest,OH,0.266
Midwest,OH,0.248
Midwest,OH,0.232
Midwest,OH,0.302
Midwest,OH,0.314
Midwest,OH,0.301
Midwest,OH,0.316
Midwest,OH,0.258
Midwest,OH,0.251
Midwest,OH,0.262
Midwest,OH,0.303
Midwest,OH,0.299
Midwest,OH,0.327
Midwest,OH,0.212
Midwest,OH,0.204
Midwest,OH,0.285
Midwest,OH,0.303
Midwest,OH,0.248
Midwest,OH,0.235
Midwest,OH,0.234
Midwest,OH,0.246
Midwest,OH,0.264
Midwest,OH,0.225
Midwest,OH,0.295
Midwest,OH,0.296
South,OK,0.329
South,OK,0.34
South,OK,0.365
South,OK,0.384
South,OK,0.277
South,OK,0.308
South,OK,0.336
South,OK,0.315
South,OK,0.354
South,OK,0.337
South,OK,0.329
South,OK,0.349
South,OK,0.296
South,OK,0.282
South,OK,0.362
South,OK,0.373
South,OK,0.306
South,OK,0.302
South,OK,0.367
South,OK,0.334
South,OK,0.272
South,OK,0.268
South,OK,0.373
South,OK,0.337
South,OK,0.358
South,OK,0.351
South,OK,0.245
South,OK,0.228
South,OK,0.338
South,OK,0.331
South,OK,0.311
South,OK,0.291
South,OK,0.386
South,OK,0.389
South,OK,0.318
South,OK,0.32
South,OK,0.346
South,OK,0.341
South,OK,0.337
South,OK,0.285
South,OK,0.351
South,OK,0.352
South,OK,0.338
South,OK,0.314
South,OK,0.358
South,OK,0.339
South,OK,0.309
South,OK,0.289
South,OK,0.345
South,OK,0.337
South,OK,0.294
South,OK,0.314
South,OK,0.332
South,OK,0.384
South,OK,0.378
South,OK,0.365
South,OK,0.36
South,OK,0.357
South,OK,0.357
South,OK,0.35
South,OK,0.363
South,OK,0.373
South,OK,0.339
South,OK,0.343
South,OK,0.344
South,OK,0.345
South,OK,0.342
South,OK,0.337
South,OK,0.36
South,OK,0.357
South,OK,0.33
South,OK,0.308
South,OK,0.288
South,OK,0.288
South,OK,0.353
South,OK,0.338
South,OK,0.367
South,OK,0.348
South,OK,0.371
South,OK,0.352
South,OK,0.435
South,OK,0.407
South,OK,0.305
South,OK,0.29
South,OK,0.337
South,OK,0.334
South,OK,0.327
South,OK,0.341
South,OK,0.352
South,OK,0.405
South,OK,0.378
South,OK,0.361
South,OK,0.29
South,OK,0.273
South,OK,0.367
South,OK,0.362
South,OK,0.352
South,OK,0.362
South,OK,0.322
South,OK,0.344
South,OK,0.321
South,OK,0.314
South,OK,0.32
South,OK,0.302
South,OK,0.308
South,OK,0.309
South,OK,0.349
South,OK,0.295
South,OK,0.301
South,OK,0.288
South,OK,0.362
South,OK,0.362
South,OK,0.327
South,OK,0.315
South,OK,0.363
South,OK,0.361
South,OK,0.409
South,OK,0.356
South,OK,0.293
South,OK,0.261
South,OK,0.325
South,OK,0.347
South,OK,0.358
South,OK,0.326
South,OK,0.343
South,OK,0.318
South,OK,0.341
South,OK,0.321
South,OK,0.386
South,OK,0.374
South,OK,0.315
South,OK,0.277
South,OK,0.378
South,OK,0.388
South,OK,0.383
South,OK,0.358
South,OK,0.32
South,OK,0.325
South,OK,0.319
South,OK,0.288
South,OK,0.329
South,OK,0.334
South,OK,0.285
South,OK,0.276
South,OK,0.326
South,OK,0.297
South,OK,0.309
South,OK,0.293
South,OK,0.336
South,OK,0.33
South,OK,0.341
South,OK,0.324
South,OK,0.319
South,OK,0.296
West,OR,0.222
West,OR,0.206
West,OR,0.146
West,OR,0.153
West,OR,0.163
West,OR,0.149
West,OR,0.199
West,OR,0.18
West,OR,0.196
West,OR,0.193
West,OR,0.217
West,OR,0.22
West,OR,0.198
West,OR,0.182
West,OR,0.239
West,OR,0.209
West,OR,0.156
West,OR,0.15
West,OR,0.213
West,OR,0.208
West,OR,0.201
West,OR,0.202
West,OR,0.201
West,OR,0.199
West,OR,0.157
West,OR,0.148
West,OR,0.157
West,OR,0.174
West,OR,0.197
West,OR,0.179
West,OR,0.202
West,OR,0.197
West,OR,0.205
West,OR,0.189
West,OR,0.197
West,OR,0.173
West,OR,0.161
West,OR,0.152
West,OR,0.188
West,OR,0.183
West,OR,0.212
West,OR,0.2
West,OR,0.222
West,OR,0.192
West,OR,0.191
West,OR,0.168
West,OR,0.253
West,OR,0.216
West,OR,0.151
West,OR,0.136
West,OR,0.197
West,OR,0.177
West,OR,0.194
West,OR,0.204
West,OR,0.201
West,OR,0.244
West,OR,0.236
West,OR,0.183
West,OR,0.17
West,OR,0.212
West,OR,0.198
West,OR,0.193
West,OR,0.179
West,OR,0.153
West,OR,0.139
West,OR,0.188
West,OR,0.16
Northeast,PA,0.25
Northeast,PA,0.248
Northeast,PA,0.25
Northeast,PA,0.237
Northeast,PA,0.248
Northeast,PA,0.252
Northeast,PA,0.284
Northeast,PA,0.281
Northeast,PA,0.268
Northeast,PA,0.287
Northeast,PA,0.246
Northeast,PA,0.246
Northeast,PA,0.313
Northeast,PA,0.31
Northeast,PA,0.274
Northeast,PA,0.256
Northeast,PA,0.244
Northeast,PA,0.224
Northeast,PA,0.234
Northeast,PA,0.229
Northeast,PA,0.308
Northeast,PA,0.281
Northeast,PA,0.294
Northeast,PA,0.259
Northeast,PA,0.306
Northeast,PA,0.286
Northeast,PA,0.201
Northeast,PA,0.181
Northeast,PA,0.17
Northeast,PA,0.174
Northeast,PA,0.263
Northeast,PA,0.238
Northeast,PA,0.253
Northeast,PA,0.252
Northeast,PA,0.27
Northeast,PA,0.255
Northeast,PA,0.272
Northeast,PA,0.249
Northeast,PA,0.263
Northeast,PA,0.266
Northeast,PA,0.218
Northeast,PA,0.191
Northeast,PA,0.275
Northeast,PA,0.252
Northeast,PA,0.229
Northeast,PA,0.21
Northeast,PA,0.309
Northeast,PA,0.282
Northeast,PA,0.281
Northeast,PA,0.266
Northeast,PA,0.345
Northeast,PA,0.334
Northeast,PA,0.237
Northeast,PA,0.223
Northeast,PA,0.279
Northeast,PA,0.268
Northeast,PA,0.269
Northeast,PA,0.281
Northeast,PA,0.351
Northeast,PA,0.307
Northeast,PA,0.301
Northeast,PA,0.277
Northeast,PA,0.265
Northeast,PA,0.274
Northeast,PA,0.301
Northeast,PA,0.294
Northeast,PA,0.266
Northeast,PA,0.247
Northeast,PA,0.28
Northeast,PA,0.27
Northeast,PA,0.228
Northeast,PA,0.206
Northeast,PA,0.292
Northeast,PA,0.274
Northeast,PA,0.239
Northeast,PA,0.227
Northeast,PA,0.247
Northeast,PA,0.214
Northeast,PA,0.312
Northeast,PA,0.302
Northeast,PA,0.284
Northeast,PA,0.254
Northeast,PA,0.299
Northeast,PA,0.271
Northeast,PA,0.27
Northeast,PA,0.26
Northeast,PA,0.265
Northeast,PA,0.277
Northeast,PA,0.245
Northeast,PA,0.241
Northeast,PA,0.207
Northeast,PA,0.192
Northeast,PA,0.297
Northeast,PA,0.264
Northeast,PA,0.259
Northeast,PA,0.253
Northeast,PA,0.308
Northeast,PA,0.293
Northeast,PA,0.256
Northeast,PA,0.27
Northeast,PA,0.288
Northeast,PA,0.269
Northeast,PA,0.266
Northeast,PA,0.216
Northeast,PA,0.274
Northeast,PA,0.28
Northeast,PA,0.32
Northeast,PA,0.295
Northeast,PA,0.254
Northeast,PA,0.235
Northeast,PA,0.283
Northeast,PA,0.286
Northeast,PA,0.316
Northeast,PA,0.311
Northeast,PA,0.278
Northeast,PA,0.233
Northeast,PA,0.261
Northeast,PA,0.255
Northeast,PA,0.259
Northeast,PA,0.253
Northeast,PA,0.292
Northeast,PA,0.264
Northeast,PA,0.26
Northeast,PA,0.227
Northeast,PA,0.242
Northeast,PA,0.23
Northeast,PA,0.242
Northeast,PA,0.237
Northeast,PA,0.268
Northeast,PA,0.26
Northeast,PA,0.276
Northeast,PA,0.235
Northeast,PA,0.231
Northeast,PA,0.221
Northeast,RI,0.213
Northeast,RI,0.203
Northeast,RI,0.254
Northeast,RI,0.232
Northeast,RI,0.2
Northeast,RI,0.191
Northeast,RI,0.274
Northeast,RI,0.264
Northeast,RI,0.202
Northeast,RI,0.193
South,SC,0.3
South,SC,0.302
South,SC,0.259
South,SC,0.257
South,SC,0.359
South,SC,0.344
South,SC,0.303
South,SC,0.299
South,SC,0.339
South,SC,0.328
South,SC,0.321
South,SC,0.299
South,SC,0.17
South,SC,0.165
South,SC,0.296
South,SC,0.257
South,SC,0.332
South,SC,0.3
South,SC,0.226
South,SC,0.213
South,SC,0.316
South,SC,0.33
South,SC,0.33
South,SC,0.281
South,SC,0.321
South,SC,0.312
South,SC,0.299
South,SC,0.291
South,SC,0.316
South,SC,0.318
South,SC,0.325
South,SC,0.328
South,SC,0.365
South,SC,0.367
South,SC,0.248
South,SC,0.23
South,SC,0.259
South,SC,0.267
South,SC,0.342
South,SC,0.306
South,SC,0.3
South,SC,0.28
South,SC,0.281
South,SC,0.279
South,SC,0.244
South,SC,0.237
South,SC,0.295
South,SC,0.263
South,SC,0.312
South,SC,0.326
South,SC,0.251
South,SC,0.23
South,SC,0.257
South,SC,0.255
South,SC,0.28
South,SC,0.285
South,SC,0.309
South,SC,0.277
South,SC,0.332
South,SC,0.331
South,SC,0.327
South,SC,0.316
South,SC,0.264
South,SC,0.244
South,SC,0.323
South,SC,0.317
South,SC,0.301
South,SC,0.324
South,SC,0.263
South,SC,0.3
South,SC,0.284
South,SC,0.276
South,SC,0.266
South,SC,0.238
South,SC,0.301
South,SC,0.285
South,SC,0.237
South,SC,0.223
South,SC,0.25
South,SC,0.239
South,SC,0.315
South,SC,0.285
South,SC,0.28
South,SC,0.273
South,SC,0.323
South,SC,0.304
South,SC,0.35
South,SC,0.343
South,SC,0.326
South,SC,0.319
South,SC,0.237
South,SC,0.219
Midwest,SD,0.297
Midwest,SD,0.283
Midwest,SD,0.257
Midwest,SD,0.302
Midwest,SD,0.277
Midwest,SD,0.308
Midwest,SD,0.265
Midwest,SD,0.21
Midwest,SD,0.2
Midwest,SD,0.272
Midwest,SD,0.252
Midwest,SD,0.344
Midwest,SD,0.308
Midwest,SD,0.381
Midwest,SD,0.334
Midwest,SD,0.317
Midwest,SD,0.283
Midwest,SD,0.289
Midwest,SD,0.257
Midwest,SD,0.306
Midwest,SD,0.288
Midwest,SD,0.245
Midwest,SD,0.235
Midwest,SD,0.233
Midwest,SD,0.225
Midwest,SD,0.326
Midwest,SD,0.311
Midwest,SD,0.251
Midwest,SD,0.236
Midwest,SD,0.253
Midwest,SD,0.25
Midwest,SD,0.301
Midwest,SD,0.286
Midwest,SD,0.308
Midwest,SD,0.297
Midwest,SD,0.352
Midwest,SD,0.321
Midwest,SD,0.342
Midwest,SD,0.301
Midwest,SD,0.293
Midwest,SD,0.267
Midwest,SD,0.25
Midwest,SD,0.248
Midwest,SD,0.325
Midwest,SD,0.301
Midwest,SD,0.308
Midwest,SD,0.327
Midwest,SD,0.302
Midwest,SD,0.272
Midwest,SD,0.27
Midwest,SD,0.258
Midwest,SD,0.329
Midwest,SD,0.315
Midwest,SD,0.267
Midwest,SD,0.244
Midwest,SD,0.223
Midwest,SD,0.211
Midwest,SD,0.294
Midwest,SD,0.292
Midwest,SD,0.321
Midwest,SD,0.312
Midwest,SD,0.328
Midwest,SD,0.298
Midwest,SD,0.296
Midwest,SD,0.276
Midwest,SD,0.258
Midwest,SD,0.247
Midwest,SD,0.234
Midwest,SD,0.231
Midwest,SD,0.216
Midwest,SD,0.302
Midwest,SD,0.288
Midwest,SD,0.324
Midwest,SD,0.319
Midwest,SD,0.291
Midwest,SD,0.287
Midwest,SD,0.272
Midwest,SD,0.264
Midwest,SD,0.257
Midwest,SD,0.348
Midwest,SD,0.302
Midwest,SD,0.316
Midwest,SD,0.282
Midwest,SD,0.237
Midwest,SD,0.227
Midwest,SD,0.307
Midwest,SD,0.254
Midwest,SD,0.24
Midwest,SD,0.225
Midwest,SD,0.35
Midwest,SD,0.349
Midwest,SD,0.296
Midwest,SD,0.293
Midwest,SD,0.301
Midwest,SD,0.266
Midwest,SD,0.35
Midwest,SD,0.293
Midwest,SD,0.305
Midwest,SD,0.275
Midwest,SD,0.31
Midwest,SD,0.27
Midwest,SD,0.303
Midwest,SD,0.308
Midwest,SD,0.303
Midwest,SD,0.28
Midwest,SD,0.315
Midwest,SD,0.303
Midwest,SD,0.331
Midwest,SD,0.304
Midwest,SD,0.28
Midwest,SD,0.262
Midwest,SD,0.314
Midwest,SD,0.291
Midwest,SD,0.225
Midwest,SD,0.198
Midwest,SD,0.334
Midwest,SD,0.292
South,TN,0.344
South,TN,0.318
South,TN,0.333
South,TN,0.37
South,TN,0.352
South,TN,0.347
South,TN,0.372
South,TN,0.357
South,TN,0.303
South,TN,0.324
South,TN,0.334
South,TN,0.339
South,TN,0.377
South,TN,0.327
South,TN,0.346
South,TN,0.34
South,TN,0.378
South,TN,0.345
South,TN,0.327
South,TN,0.319
South,TN,0.336
South,TN,0.338
South,TN,0.288
South,TN,0.259
South,TN,0.365
South,TN,0.312
South,TN,0.314
South,TN,0.32
South,TN,0.378
South,TN,0.355
South,TN,0.333
South,TN,0.348
South,TN,0.361
South,TN,0.339
South,TN,0.28
South,TN,0.293
South,TN,0.269
South,TN,0.257
South,TN,0.37
South,TN,0.389
South,TN,0.392
South,TN,0.36
South,TN,0.34
South,TN,0.348
South,TN,0.399
South,TN,0.366
South,TN,0.349
South,TN,0.327
South,TN,0.398
South,TN,0.391
South,TN,0.384
South,TN,0.344
South,TN,0.385
South,TN,0.332
South,TN,0.315
South,TN,0.281
South,TN,0.382
South,TN,0.387
South,TN,0.388
South,TN,0.361
South,TN,0.338
South,TN,0.384
South,TN,0.373
South,TN,0.333
South,TN,0.292
South,TN,0.287
South,TN,0.409
South,TN,0.394
South,TN,0.356
South,TN,0.373
South,TN,0.368
South,TN,0.353
South,TN,0.328
South,TN,0.346
South,TN,0.329
South,TN,0.319
South,TN,0.348
South,TN,0.359
South,TN,0.342
South,TN,0.385
South,TN,0.337
South,TN,0.368
South,TN,0.331
South,TN,0.337
South,TN,0.285
South,TN,0.305
South,TN,0.367
South,TN,0.387
South,TN,0.332
South,TN,0.325
South,TN,0.328
South,TN,0.336
South,TN,0.294
South,TN,0.277
South,TN,0.376
South,TN,0.327
South,TN,0.343
South,TN,0.358
South,TN,0.336
South,TN,0.323
South,TN,0.365
South,TN,0.316
South,TN,0.332
South,TN,0.34
South,TN,0.301
South,TN,0.303
South,TN,0.304
South,TN,0.31
South,TN,0.311
South,TN,0.295
