Region,State,Physical inactivity
South,TN,0.406
South,TN,0.361
South,TN,0.347
South,TN,0.346
South,TN,0.344
South,TN,0.339
South,TN,0.356
South,TN,0.357
South,TN,0.334
South,TN,0.337
South,TN,0.342
South,TN,0.306
South,TN,0.333
South,TN,0.346
South,TN,0.33
South,TN,0.282
South,TN,0.334
South,TN,0.338
South,TN,0.322
South,TN,0.347
South,TN,0.362
South,TN,0.354
South,TN,0.322
South,TN,0.326
South,TN,0.31
South,TN,0.337
South,TN,0.366
South,TN,0.339
South,TN,0.354
South,TN,0.371
South,TN,0.315
South,TN,0.324
South,TN,0.331
South,TN,0.357
South,TN,0.374
South,TN,0.373
South,TN,0.322
South,TN,0.318
South,TN,0.272
South,TN,0.254
South,TN,0.381
South,TN,0.399
South,TN,0.344
South,TN,0.323
South,TN,0.325
South,TN,0.318
South,TN,0.292
South,TN,0.279
South,TN,0.353
South,TN,0.321
South,TN,0.37
South,TN,0.354
South,TN,0.344
South,TN,0.35
South,TN,0.283
South,TN,0.248
South,TN,0.349
South,TN,0.338
South,TN,0.369
South,TN,0.373
South,TN,0.39
South,TN,0.37
South,TN,0.356
South,TN,0.364
South,TN,0.34
South,TN,0.325
South,TN,0.327
South,TN,0.307
South,TN,0.309
South,TN,0.299
South,TN,0.306
South,TN,0.343
South,TN,0.364
South,TN,0.337
South,TN,0.359
South,TN,0.332
South,TN,0.238
South,TN,0.232
South,TN,0.317
South,TN,0.285
South,TX,0.293
South,TX,0.289
South,TX,0.276
South,TX,0.266
South,TX,0.277
South,TX,0.286
South,TX,0.279
South,TX,0.28
South,TX,0.281
South,TX,0.271
South,TX,0.266
South,TX,0.262
South,TX,0.255
South,TX,0.285
South,TX,0.266
South,TX,0.273
South,TX,0.27
South,TX,0.303
South,TX,0.285
South,TX,0.28
South,TX,0.288
South,TX,0.278
South,TX,0.246
South,TX,0.254
South,TX,0.232
South,TX,0.269
South,TX,0.227
South,TX,0.213
South,TX,0.207
South,TX,0.273
South,TX,0.236
South,TX,0.268
South,TX,0.283
South,TX,0.314
South,TX,0.301
South,TX,0.244
South,TX,0.241
South,TX,0.216
South,TX,0.208
South,TX,0.242
South,TX,0.235
South,TX,0.3
South,TX,0.28
South,TX,0.296
South,TX,0.287
South,TX,0.315
South,TX,0.308
South,TX,0.257
South,TX,0.283
South,TX,0.251
South,TX,0.252
South,TX,0.25
South,TX,0.249
South,TX,0.255
South,TX,0.278
South,TX,0.209
South,TX,0.222
South,TX,0.276
South,TX,0.282
South,TX,0.294
South,TX,0.295
South,TX,0.34
South,TX,0.294
South,TX,0.291
South,TX,0.262
South,TX,0.296
South,TX,0.278
South,TX,0.325
South,TX,0.313
South,TX,0.274
South,TX,0.283
South,TX,0.332
South,TX,0.331
South,TX,0.29
South,TX,0.291
South,TX,0.332
South,TX,0.313
South,TX,0.325
South,TX,0.292
South,TX,0.199
South,TX,0.19
South,TX,0.281
South,TX,0.279
South,TX,0.301
South,TX,0.287
South,TX,0.254
South,TX,0.249
South,TX,0.275
South,TX,0.293
South,TX,0.277
South,TX,0.274
South,TX,0.254
South,TX,0.256
South,TX,0.253
South,TX,0.246
South,TX,0.265
South,TX,0.25
South,TX,0.286
South,TX,0.273
South,TX,0.311
South,TX,0.29
South,TX,0.27
South,TX,0.264
South,TX,0.249
South,TX,0.239
South,TX,0.286
South,TX,0.264
South,TX,0.268
South,TX,0.293
South,TX,0.284
South,TX,0.272
South,TX,0.315
South,TX,0.316
South,TX,0.212
South,TX,0.208
South,TX,0.289
South,TX,0.274
South,TX,0.264
South,TX,0.275
South,TX,0.269
South,TX,0.278
South,TX,0.273
South,TX,0.316
South,TX,0.313
South,TX,0.289
South,TX,0.295
South,TX,0.297
South,TX,0.29
South,TX,0.215
South,TX,0.229
South,TX,0.231
South,TX,0.224
South,TX,0.247
South,TX,0.235
South,TX,0.302
South,TX,0.285
South,TX,0.304
South,TX,0.275
South,TX,0.297
South,TX,0.317
South,TX,0.319
South,TX,0.301
South,TX,0.319
South,TX,0.291
South,TX,0.281
South,TX,0.214
South,TX,0.22
South,TX,0.301
South,TX,0.273
South,TX,0.273
South,TX,0.262
South,TX,0.271
South,TX,0.254
South,TX,0.271
South,TX,0.233
South,TX,0.277
South,TX,0.272
South,TX,0.285
South,TX,0.264
South,TX,0.314
South,TX,0.293
South,TX,0.297
South,TX,0.294
South,TX,0.285
South,TX,0.289
South,TX,0.366
South,TX,0.312
South,TX,0.27
South,TX,0.27
South,TX,0.288
South,TX,0.283
South,TX,0.281
South,TX,0.282
South,TX,0.243
South,TX,0.213
South,TX,0.3
South,TX,0.302
South,TX,0.281
South,TX,0.276
South,TX,0.302
South,TX,0.309
South,TX,0.285
South,TX,0.264
South,TX,0.289
South,TX,0.284
South,TX,0.331
South,TX,0.34
South,TX,0.222
South,TX,0.213
South,TX,0.331
South,TX,0.304
South,TX,0.291
South,TX,0.262
South,TX,0.278
South,TX,0.276
South,TX,0.226
South,TX,0.212
South,TX,0.265
South,TX,0.277
South,TX,0.33
South,TX,0.3
South,TX,0.222
South,TX,0.221
South,TX,0.297
South,TX,0.255
South,TX,0.292
South,TX,0.276
South,TX,0.247
South,TX,0.249
South,TX,0.299
South,TX,0.28
South,TX,0.285
South,TX,0.324
South,TX,0.311
South,TX,0.281
South,TX,0.275
South,TX,0.268
South,TX,0.293
South,TX,0.288
South,TX,0.297
South,TX,0.288
South,TX,0.256
South,TX,0.255
South,TX,0.26
South,TX,0.242
South,TX,0.325
South,TX,0.311
South,TX,0.234
South,TX,0.232
South,TX,0.284
South,TX,0.287
South,TX,0.281
South,TX,0.273
South,TX,0.261
South,TX,0.26
South,TX,0.287
South,TX,0.265
South,TX,0.293
South,TX,0.294
South,TX,0.286
South,TX,0.26
South,TX,0.298
South,TX,0.301
South,TX,0.252
South,TX,0.205
South,TX,0.271
South,TX,0.257
South,TX,0.281
South,TX,0.263
South,TX,0.287
South,TX,0.286
South,TX,0.281
South,TX,0.273
South,TX,0.281
South,TX,0.266
South,TX,0.264
South,TX,0.248
South,TX,0.31
South,TX,0.321
South,TX,0.271
South,TX,0.274
South,TX,0.278
South,TX,0.278
South,TX,0.276
South,TX,0.272
South,TX,0.302
South,TX,0.294
South,TX,0.344
South,TX,0.308
South,TX,0.283
South,TX,0.264
South,TX,0.291
South,TX,0.295
South,TX,0.286
South,TX,0.261
South,TX,0.317
South,TX,0.309
South,TX,0.305
South,TX,0.286
South,TX,0.245
South,TX,0.245
South,TX,0.29
South,TX,0.291
South,TX,0.275
South,TX,0.273
South,TX,0.322
South,TX,0.328
South,TX,0.259
South,TX,0.266
South,TX,0.286
South,TX,0.282
South,TX,0.287
South,TX,0.261
South,TX,0.293
South,TX,0.289
South,TX,0.291
South,TX,0.287
South,TX,0.247
South,TX,0.261
South,TX,0.257
South,TX,0.253
South,TX,0.294
South,TX,0.279
South,TX,0.281
South,TX,0.268
South,TX,0.306
South,TX,0.273
South,TX,0.269
South,TX,0.263
South,TX,0.261
South,TX,0.251
South,TX,0.283
South,TX,0.261
South,TX,0.209
South,TX,0.196
South,TX,0.285
South,TX,0.273
South,TX,0.307
South,TX,0.319
South,TX,0.279
South,TX,0.262
South,TX,0.329
South,TX,0.297
South,TX,0.319
South,TX,0.296
South,TX,0.305
South,TX,0.297
South,TX,0.249
South,TX,0.24
South,TX,0.245
South,TX,0.26
South,TX,0.26
South,TX,0.347
South,TX,0.303
South,TX,0.279
South,TX,0.279
South,TX,0.289
South,TX,0.297
South,TX,0.281
South,TX,0.276
South,TX,0.27
South,TX,0.26
South,TX,0.286
South,TX,0.275
South,TX,0.268
South,TX,0.303
South,TX,0.317
South,TX,0.312
South,TX,0.282
South,TX,0.286
South,TX,0.292
South,TX,0.273
South,TX,0.218
South,TX,0.211
South,TX,0.284
South,TX,0.273
South,TX,0.285
South,TX,0.281
South,TX,0.313
South,TX,0.319
South,TX,0.282
South,TX,0.277
South,TX,0.292
South,TX,0.293
South,TX,0.277
South,TX,0.271
South,TX,0.286
South,TX,0.283
South,TX,0.274
South,TX,0.273
South,TX,0.274
South,TX,0.274
South,TX,0.29
South,TX,0.293
South,TX,0.309
South,TX,0.283
South,TX,0.326
South,TX,0.315
South,TX,0.271
South,TX,0.254
South,TX,0.29
South,TX,0.284
South,TX,0.271
South,TX,0.265
South,TX,0.338
South,TX,0.333
South,TX,0.283
South,TX,0.28
South,TX,0.312
South,TX,0.282
South,TX,0.283
South,TX,0.26
South,TX,0.262
South,TX,0.296
South,TX,0.272
South,TX,0.259
South,TX,0.239
South,TX,0.285
South,TX,0.257
South,TX,0.261
South,TX,0.25
South,TX,0.312
South,TX,0.303
South,TX,0.234
South,TX,0.242
South,TX,0.292
South,TX,0.253
South,TX,0.298
South,TX,0.275
South,TX,0.261
South,TX,0.249
South,TX,0.281
South,TX,0.284
South,TX,0.178
South,TX,0.161
South,TX,0.338
South,TX,0.309
South,TX,0.33
South,TX,0.301
South,TX,0.35
South,TX,0.328
South,TX,0.282
South,TX,0.277
South,TX,0.274
South,TX,0.282
South,TX,0.258
South,TX,0.258
South,TX,0.334
South,TX,0.359
South,TX,0.24
South,TX,0.248
South,TX,0.276
South,TX,0.27
South,TX,0.285
South,TX,0.262
South,TX,0.296
South,TX,0.274
South,TX,0.285
South,TX,0.261
South,TX,0.275
South,TX,0.27
South,TX,0.288
South,TX,0.297
South,TX,0.283
South,TX,0.289
South,TX,0.29
South,TX,0.289
South,TX,0.281
South,TX,0.277
South,TX,0.267
South,TX,0.274
South,TX,0.199
South,TX,0.183
South,TX,0.291
South,TX,0.271
South,TX,0.254
South,TX,0.246
South,TX,0.291
South,TX,0.263
South,TX,0.292
South,TX,0.284
South,TX,0.302
South,TX,0.281
South,TX,0.302
South,TX,0.292
South,TX,0.286
South,TX,0.279
South,TX,0.276
South,TX,0.279
West,UT,0.239
West,UT,0.231
West,UT,0.213
West,UT,0.183
West,UT,0.166
West,UT,0.152
West,UT,0.235
West,UT,0.23
West,UT,0.156
West,UT,0.152
West,UT,0.22
West,UT,0.231
West,UT,0.235
West,UT,0.232
West,UT,0.264
West,UT,0.231
West,UT,0.179
West,UT,0.155
West,UT,0.197
West,UT,0.194
West,UT,0.212
West,UT,0.21
West,UT,0.264
West,UT,0.242
West,UT,0.247
West,UT,0.238
West,UT,0.207
West,UT,0.198
West,UT,0.286
West,UT,0.231
West,UT,0.174
West,UT,0.164
West,UT,0.293
West,UT,0.271
West,UT,0.231
West,UT,0.22
West,UT,0.229
West,UT,0.227
West,UT,0.115
West,UT,0.11
West,UT,0.208
West,UT,0.2
West,UT,0.256
West,UT,0.235
West,UT,0.149
West,UT,0.144
West,UT,0.149
West,UT,0.143
West,UT,0.19
West,UT,0.177
West,UT,0.216
West,UT,0.211
West,UT,0.185
West,UT,0.18
South,VA,0.31
South,VA,0.306
South,VA,0.208
South,VA,0.195
South,VA,0.17
South,VA,0.153
South,VA,0.25
South,VA,0.242
South,VA,0.273
South,VA,0.292
South,VA,0.293
South,VA,0.286
South,VA,0.28
South,VA,0.266
South,VA,0.152
South,VA,0.139
South,VA,0.253
South,VA,0.238
South,VA,0.264
South,VA,0.275
South,VA,0.298
South,VA,0.272
South,VA,0.249
South,VA,0.258
South,VA,0.243
South,VA,0.258
South,VA,0.241
South,VA,0.224
South,VA,0.256
South,VA,0.235
South,VA,0.315
South,VA,0.293
South,VA,0.254
South,VA,0.276
South,VA,0.292
South,VA,0.277
South,VA,0.245
South,VA,0.233
South,VA,0.275
South,VA,0.289
South,VA,0.248
South,VA,0.225
South,VA,0.285
South,VA,0.292
South,VA,0.31
South,VA,0.286
South,VA,0.248
South,VA,0.249
South,VA,0.236
South,VA,0.204
South,VA,0.213
South,VA,0.204
South,VA,0.215
South,VA,0.208
South,VA,0.245
South,VA,0.235
South,VA,0.232
South,VA,0.224
South,VA,0.26
South,VA,0.258
South,VA,0.243
South,VA,0.253
South,VA,0.248
South,VA,0.236
South,VA,0.262
South,VA,0.252
South,VA,0.319
South,VA,0.313
South,VA,0.295
South,VA,0.318
South,VA,0.271
South,VA,0.291
South,VA,0.299
South,VA,0.282
South,VA,0.27
South,VA,0.274
South,VA,0.169
South,VA,0.152
South,VA,0.269
South,VA,0.202
South,VA,0.222
South,VA,0.207
South,VA,0.203
South,VA,0.202
South,VA,0.24
South,VA,0.24
South,VA,0.223
South,VA,0.217
South,VA,0.255
South,VA,0.24
South,VA,0.327
South,VA,0.296
South,VA,0.265
South,VA,0.248
South,VA,0.245
South,VA,0.22
South,VA,0.248
South,VA,0.247
South,VA,0.26
South,VA,0.28
South,VA,0.247
South,VA,0.253
South,VA,0.238
South,VA,0.239
South,VA,0.296
South,VA,0.295
South,VA,0.225
South,VA,0.221
South,VA,0.297
South,VA,0.287
South,VA,0.313
South,VA,0.286
South,VA,0.27
South,VA,0.264
South,VA,0.224
South,VA,0.237
South,VA,0.239
South,VA,0.23
South,VA,0.238
South,VA,0.225
South,VA,0.331
South,VA,0.345
South,VA,0.306
South,VA,0.27
South,VA,0.273
South,VA,0.26
South,VA,0.207
South,VA,0.199
South,VA,0.239
South,VA,0.245
South,VA,0.303
South,VA,0.286
South,VA,0.292
South,VA,0.27
South,VA,0.315
South,VA,0.287
South,VA,0.325
South,VA,0.272
South,VA,0.232
South,VA,0.226
South,VA,0.209
South,VA,0.203
South,VA,0.289
South,VA,0.256
South,VA,0.33
South,VA,0.308
South,VA,0.265
South,VA,0.235
South,VA,0.248
South,VA,0.253
South,VA,0.25
South,VA,0.241
South,VA,0.23
South,VA,0.21
South,VA,0.278
South,VA,0.269
South,VA,0.248
South,VA,0.241
South,VA,0.269
South,VA,0.27
South,VA,0.267
South,VA,0.23
South,VA,0.197
South,VA,0.192
South,VA,0.234
South,VA,0.204
South,VA,0.221
South,VA,0.23
South,VA,0.259
South,VA,0.259
South,VA,0.255
South,VA,0.245
South,VA,0.339
South,VA,0.319
South,VA,0.261
South,VA,0.238
South,VA,0.243
South,VA,0.239
South,VA,0.285
South,VA,0.297
South,VA,0.264
South,VA,0.257
South,VA,0.256
South,VA,0.255
South,VA,0.262
South,VA,0.248
South,VA,0.321
South,VA,0.289
South,VA,0.285
South,VA,0.274
South,VA,0.235
South,VA,0.216
South,VA,0.277
South,VA,0.279
South,VA,0.265
South,VA,0.263
South,VA,0.287
South,VA,0.276
South,VA,0.286
South,VA,0.262
South,VA,0.212
South,VA,0.194
South,VA,0.257
South,VA,0.264
South,VA,0.223
South,VA,0.199
South,VA,0.26
South,VA,0.247
South,VA,0.274
South,VA,0.235
South,VA,0.253
South,VA,0.222
South,VA,0.26
South,VA,0.258
South,VA,0.256
South,VA,0.265
South,VA,0.296
South,VA,0.296
South,VA,0.221
South,VA,0.224
South,VA,0.386
South,VA,0.359
South,VA,0.275
South,VA,0.252
South,VA,0.328
South,VA,0.345
South,VA,0.256
South,VA,0.233
South,VA,0.245
South,VA,0.229
South,VA,0.3
South,VA,0.31
South,VA,0.208
South,VA,0.226
South,VA,0.214
South,VA,0.219
South,VA,0.249
South,VA,0.25
South,VA,0.264
South,VA,0.258
South,VA,0.276
South,VA,0.278
South,VA,0.288
South,VA,0.272
South,VA,0.344
South,VA,0.309
South,VA,0.241
South,VA,0.207
South,VA,0.221
South,VA,0.184
South,VA,0.297
South,VA,0.295
South,VA,0.257
South,VA,0.24
South,VA,0.316
South,VA,0.315
South,VA,0.24
South,VA,0.235
South,VA,0.264
South,VA,0.258
South,VA,0.374
South,VA,0.377
South,VA,0.291
South,VA,0.271
South,VA,0.222
South,VA,0.214
Northeast,VT,0.189
Northeast,VT,0.178
Northeast,VT,0.219
Northeast,VT,0.197
Northeast,VT,0.224
Northeast,VT,0.21
Northeast,VT,0.146
Northeast,VT,0.139
Northeast,VT,0.226
Northeast,VT,0.248
Northeast,VT,0.265
Northeast,VT,0.244
Northeast,VT,0.19
Northeast,VT,0.175
Northeast,VT,0.178
Northeast,VT,0.179
Northeast,VT,0.205
Northeast,VT,0.202
Northeast,VT,0.259
Northeast,VT,0.243
Northeast,VT,0.224
Northeast,VT,0.211
Northeast,VT,0.187
Northeast,VT,0.173
Northeast,VT,0.186
Northeast,VT,0.173
Northeast,VT,0.189
Northeast,VT,0.187
West,WA,0.274
West,WA,0.253
West,WA,0.236
West,WA,0.212
West,WA,0.195
West,WA,0.184
West,WA,0.185
West,WA,0.171
West,WA,0.194
West,WA,0.204
West,WA,0.189
West,WA,0.189
West,WA,0.229
West,WA,0.24
West,WA,0.242
West,WA,0.232
West,WA,0.197
West,WA,0.192
West,WA,0.224
West,WA,0.2
West,WA,0.22
West,WA,0.2
West,WA,0.268
West,WA,0.271
West,WA,0.253
West,WA,0.273
West,WA,0.246
West,WA,0.252
West,WA,0.168
West,WA,0.173
West,WA,0.167
West,WA,0.154
West,WA,0.163
West,WA,0.147
West,WA,0.185
West,WA,0.184
West,WA,0.173
West,WA,0.173
West,WA,0.229
West,WA,0.216
West,WA,0.238
West,WA,0.228
West,WA,0.245
West,WA,0.235
West,WA,0.231
West,WA,0.237
West,WA,0.245
West,WA,0.26
West,WA,0.255
West,WA,0.256
West,WA,0.212
West,WA,0.21
West,WA,0.215
West,WA,0.202
West,WA,0.133
West,WA,0.13
West,WA,0.178
West,WA,0.178
West,WA,0.222
West,WA,0.2
West,WA,0.196
West,WA,0.181
West,WA,0.195
West,WA,0.194
West,WA,0.237
West,WA,0.227
West,WA,0.186
West,WA,0.177
West,WA,0.235
West,WA,0.234
West,WA,0.167
West,WA,0.175
West,WA,0.162
West,WA,0.162
West,WA,0.204
West,WA,0.172
West,WA,0.244
West,WA,0.228
Midwest,WI,0.272
Midwest,WI,0.232
Midwest,WI,0.209
Midwest,WI,0.206
Midwest,WI,0.241
Midwest,WI,0.244
Midwest,WI,0.223
Midwest,WI,0.189
Midwest,WI,0.206
Midwest,WI,0.202
Midwest,WI,0.238
Midwest,WI,0.234
Midwest,WI,0.238
Midwest,WI,0.251
Midwest,WI,0.181
Midwest,WI,0.194
Midwest,WI,0.184
Midwest,WI,0.187
Midwest,WI,0.25
Midwest,WI,0.205
Midwest,WI,0.267
Midwest,WI,0.244
Midwest,WI,0.211
Midwest,WI,0.214
Midwest,WI,0.18
Midwest,WI,0.169
Midwest,WI,0.256
Midwest,WI,0.229
Midwest,WI,0.193
Midwest,WI,0.216
Midwest,WI,0.229
Midwest,WI,0.239
Midwest,WI,0.222
Midwest,WI,0.204
Midwest,WI,0.232
Midwest,WI,0.217
Midwest,WI,0.245
Midwest,WI,0.238
Midwest,WI,0.251
Midwest,WI,0.231
Midwest,WI,0.247
Midwest,WI,0.242
Midwest,WI,0.195
Midwest,WI,0.194
Midwest,WI,0.204
Midwest,WI,0.211
Midwest,WI,0.271
Midwest,WI,0.211
Midwest,WI,0.246
Midwest,WI,0.221
Midwest,WI,0.229
Midwest,WI,0.196
Midwest,WI,0.2
Midwest,WI,0.201
Midwest,WI,0.187
Midwest,WI,0.167
Midwest,WI,0.244
Midwest,WI,0.275
Midwest,WI,0.228
Midwest,WI,0.218
Midwest,WI,0.279
Midwest,WI,0.28
Midwest,WI,0.181
Midwest,WI,0.188
Midwest,WI,0.193
Midwest,WI,0.182
Midwest,WI,0.263
Midwest,WI,0.216
Midwest,WI,0.237
Midwest,WI,0.228
Midwest,WI,0.242
Midwest,WI,0.216
Midwest,WI,0.256
Midwest,WI,0.226
Midwest,WI,0.272
Midwest,WI,0.249
Midwest,WI,0.256
Midwest,WI,0.236
Midwest,WI,0.315
Midwest,WI,0.31
Midwest,WI,0.249
Midwest,WI,0.235
Midwest,WI,0.249
Midwest,WI,0.267
Midwest,WI,0.236
Midwest,WI,0.253
Midwest,WI,0.213
Midwest,WI,0.216
Midwest,WI,0.219
Midwest,WI,0.19
Midwest,WI,0.179
Midwest,WI,0.181
Midwest,WI,0.228
Midwest,WI,0.233
Midwest,WI,0.219
Midwest,WI,0.216
Midwest,WI,0.204
Midwest,WI,0.172
Midwest,WI,0.213
Midwest,WI,0.196
Midwest,WI,0.225
Midwest,WI,0.195
Midwest,WI,0.243
Midwest,WI,0.225
Midwest,WI,0.217
Midwest,WI,0.2
Midwest,WI,0.232
Midwest,WI,0.215
Midwest,WI,0.257
Midwest,WI,0.259
Midwest,WI,0.265
Midwest,WI,0.252
Midwest,WI,0.231
Midwest,WI,0.236
Midwest,WI,0.276
Midwest,WI,0.246
Midwest,WI,0.23
Midwest,WI,0.223
Midwest,WI,0.191
Midwest,WI,0.193
Midwest,WI,0.267
Midwest,WI,0.247
Midwest,WI,0.247
Midwest,WI,0.241
Midwest,WI,0.249
Midwest,WI,0.244
Midwest,WI,0.248
Midwest,WI,0.219
Midwest,WI,0.219
Midwest,WI,0.212
Midwest,WI,0.21
Midwest,WI,0.253
Midwest,WI,0.222
Midwest,WI,0.213
Midwest,WI,0.184
Midwest,WI,0.167
Midwest,WI,0.239
Midwest,WI,0.233
Midwest,WI,0.226
Midwest,WI,0.241
Midwest,WI,0.219
Midwest,WI,0.218
Midwest,WI,0.209
Midwest,WI,0.211
South,WV,0.351
South,WV,0.36
South,WV,0.293
South,WV,0.277
South,WV,0.422
South,WV,0.365
South,WV,0.352
South,WV,0.337
South,WV,0.357
South,WV,0.351
South,WV,0.318
South,WV,0.313
South,WV,0.342
South,WV,0.363
South,WV,0.376
South,WV,0.393
South,WV,0.375
South,WV,0.333
South,WV,0.373
South,WV,0.376
South,WV,0.322
South,WV,0.324
South,WV,0.321
South,WV,0.331
South,WV,0.339
South,WV,0.351
South,WV,0.346
South,WV,0.324
South,WV,0.317
South,WV,0.344
South,WV,0.316
South,WV,0.324
South,WV,0.333
South,WV,0.336
South,WV,0.311
South,WV,0.295
South,WV,0.299
South,WV,0.284
South,WV,0.319
South,WV,0.297
South,WV,0.361
South,WV,0.346
South,WV,0.379
South,WV,0.392
South,WV,0.443
South,WV,0.407
South,WV,0.321
South,WV,0.314
South,WV,0.341
South,WV,0.281
South,WV,0.382
South,WV,0.397
South,WV,0.433
South,WV,0.4
South,WV,0.377
South,WV,0.345
South,WV,0.311
South,WV,0.283
South,WV,0.438
South,WV,0.41
South,WV,0.245
South,WV,0.242
South,WV,0.351
South,WV,0.312
South,WV,0.354
South,WV,0.322
South,WV,0.382
South,WV,0.382
South,WV,0.293
South,WV,0.251
South,WV,0.354
South,WV,0.337
South,WV,0.318
South,WV,0.339
South,WV,0.316
South,WV,0.277
South,WV,0.347
South,WV,0.346
South,WV,0.314
South,WV,0.303
South,WV,0.371
South,WV,0.35
South,WV,0.336
South,WV,0.295
South,WV,0.342
South,WV,0.33
South,WV,0.356
South,WV,0.339
South,WV,0.353
South,WV,0.349
South,WV,0.379
South,WV,0.389
South,WV,0.38
South,WV,0.367
South,WV,0.361
South,WV,0.357
South,WV,0.365
South,WV,0.312
South,WV,0.378
South,WV,0.368
South,WV,0.34
South,WV,0.369
South,WV,0.368
South,WV,0.361
South,WV,0.325
South,WV,0.336
South,WV,0.327
South,WV,0.331
South,WV,0.449
South,WV,0.399
West,WY,0.185
West,WY,0.167
West,WY,0.257
West,WY,0.234
West,WY,0.255
West,WY,0.252
West,WY,0.326
West,WY,0.316
West,WY,0.257
West,WY,0.264
West,WY,0.289
West,WY,0.272
West,WY,0.239
West,WY,0.241
West,WY,0.297
West,WY,0.288
West,WY,0.266
West,WY,0.261
West,WY,0.256
West,WY,0.234
West,WY,0.236
West,WY,0.221
West,WY,0.219
West,WY,0.222
West,WY,0.237
West,WY,0.237
West,WY,0.294
West,WY,0.289
West,WY,0.232
West,WY,0.213
West,WY,0.273
West,WY,0.275
West,WY,0.204
West,WY,0.209
West,WY,0.244
West,WY,0.203
West,WY,0.23
West,WY,0.235
West,WY,0.105
West,WY,0.116
West,WY,0.258
West,WY,0.244
West,WY,0.246
West,WY,0.24
West,WY,0.285
West,WY,0.269
